fecha,simbolo,apertura,cierre,volumen
2025-02-07,AAPL,232.6,227.63,39453422
2025-02-06,AAPL,231.285,233.22,29925349
2025-02-05,AAPL,228.53,232.47,39664989
2025-02-04,AAPL,227.25,232.8,45067301
2025-02-03,AAPL,229.99,228.01,73063301
2025-01-31,AAPL,247.19,236.0,101075128
2025-01-30,AAPL,238.665,237.59,55658279
2025-01-29,AAPL,234.12,239.36,45486100
2025-01-28,AAPL,230.85,238.26,75707569
2025-01-27,AAPL,224.02,229.86,94863418
2025-01-24,AAPL,224.78,222.78,54697907
2025-01-23,AAPL,224.74,223.66,60234760
2025-01-22,AAPL,219.79,223.83,64126500
2025-01-21,AAPL,224.0,222.64,98070429
2025-01-17,AAPL,232.115,229.98,68488301
2025-01-16,AAPL,237.35,228.26,71759052
2025-01-15,AAPL,234.635,237.87,39831969
2025-01-14,AAPL,234.75,233.28,39435294
2025-01-13,AAPL,233.53,234.4,49630725
2025-01-10,AAPL,240.01,236.85,61710856
2025-01-08,AAPL,241.92,242.7,37628940
2025-01-07,AAPL,242.98,242.21,40855960
2025-01-06,AAPL,244.31,245.0,45045571
2025-01-03,AAPL,243.36,243.36,40244114
2025-01-02,AAPL,248.93,243.85,55740731
2024-12-31,AAPL,252.44,250.42,39480718
2024-12-30,AAPL,252.23,252.2,35557542
2024-12-27,AAPL,257.83,255.59,42355321
2024-12-26,AAPL,258.19,259.02,27262983
2024-12-24,AAPL,255.49,258.2,23234705
2024-12-23,AAPL,254.77,255.27,40858774
2024-12-20,AAPL,248.04,254.49,147495267
2024-12-19,AAPL,247.5,249.79,60882264
2024-12-18,AAPL,252.16,248.05,56774101
2024-12-17,AAPL,250.08,253.48,51356360
2024-12-16,AAPL,247.99,251.04,51694753
2024-12-13,AAPL,247.815,248.13,33155290
2024-12-12,AAPL,246.89,247.96,32777532
2024-12-11,AAPL,247.96,246.49,45205814
2024-12-10,AAPL,246.89,247.77,36914806
2024-12-09,AAPL,241.83,246.75,44649232
2024-12-06,AAPL,242.905,242.84,36870619
2024-12-05,AAPL,243.99,243.04,40033878
2024-12-04,AAPL,242.87,243.01,44383935
2024-12-03,AAPL,239.81,242.65,38861017
2024-12-02,AAPL,237.27,239.59,48137103
2024-11-29,AAPL,234.81,237.33,28481377
2024-11-27,AAPL,234.465,234.93,33498439
2024-11-26,AAPL,233.33,235.06,45986189
2024-11-25,AAPL,231.46,232.87,90152832
2024-11-22,AAPL,228.06,229.87,38168252
2024-11-21,AAPL,228.88,228.52,42108327
2024-11-20,AAPL,228.06,229.0,35169566
2024-11-19,AAPL,226.98,228.28,36211774
2024-11-18,AAPL,225.25,228.02,44686020
2024-11-15,AAPL,226.4,225.0,47923696
2024-11-14,AAPL,225.02,228.22,44923941
2024-11-13,AAPL,224.01,225.12,48566217
2024-11-12,AAPL,224.55,224.23,40398299
2024-11-11,AAPL,225.0,224.23,42005602
2024-11-08,AAPL,227.17,226.96,38328824
2024-11-07,AAPL,224.625,227.48,42137691
2024-11-06,AAPL,222.61,222.72,54561121
2024-11-05,AAPL,221.795,223.45,28111338
2024-11-04,AAPL,220.99,222.01,44944468
2024-11-01,AAPL,220.965,222.91,65276741
2024-10-31,AAPL,229.34,225.91,64370086
2024-10-30,AAPL,232.61,230.1,47070907
2024-10-29,AAPL,233.1,233.67,35417247
2024-10-28,AAPL,233.32,233.4,36087134
2024-10-25,AAPL,229.74,231.41,38802304
2024-10-24,AAPL,229.98,230.57,31109503
2024-10-23,AAPL,234.08,230.76,52286979
2024-10-22,AAPL,233.885,235.86,38846578
2024-10-21,AAPL,234.45,236.48,36254470
2024-10-18,AAPL,236.18,235.0,46431472
2024-10-17,AAPL,233.43,232.15,32993810
2024-10-16,AAPL,231.6,231.78,34082240
2024-10-15,AAPL,233.61,233.85,64751367
2024-10-14,AAPL,228.7,231.3,39882085
2024-10-11,AAPL,229.3,227.55,31759188
2024-10-10,AAPL,227.78,229.04,28183544
2024-10-09,AAPL,225.23,229.54,33591091
2024-10-08,AAPL,224.3,225.77,31855693
2024-10-07,AAPL,224.5,221.69,39505354
2024-10-04,AAPL,227.9,226.8,37345098
2024-10-03,AAPL,225.14,225.67,34044158
2024-10-02,AAPL,225.89,226.78,32880605
2024-10-01,AAPL,229.52,226.21,63285048
2024-09-30,AAPL,230.04,233.0,54793391
2024-09-27,AAPL,228.46,227.79,34025967
2024-09-26,AAPL,227.3,227.52,36636707
2024-09-25,AAPL,224.93,226.37,42308715
2024-09-24,AAPL,228.645,227.37,43556068
2024-09-23,AAPL,227.34,226.47,54146023
2024-09-20,AAPL,229.97,228.2,318679888
2024-09-19,AAPL,224.99,228.87,66781315
2024-09-18,AAPL,217.55,220.69,59894928
2024-09-17,AAPL,215.75,216.79,45519339
2024-09-16,AAPL,216.54,216.32,59357427
2025-02-07,TSLA,370.19,361.62,68720651
2025-02-06,TSLA,373.03,374.32,77918230
2025-02-05,TSLA,387.51,378.17,57614721
2025-02-04,TSLA,382.63,392.21,57072235
2025-02-03,TSLA,386.68,383.68,93732122
2025-01-31,TSLA,401.53,404.6,83568219
2025-01-30,TSLA,410.78,400.28,98092879
2025-01-29,TSLA,395.21,389.1,68033648
2025-01-28,TSLA,396.91,398.09,48910676
2025-01-27,TSLA,394.8,397.15,58125510
2025-01-24,TSLA,414.45,406.58,56427149
2025-01-23,TSLA,416.06,412.38,50690592
2025-01-22,TSLA,416.81,415.11,60963342
2025-01-21,TSLA,432.64,424.07,87320894
2025-01-17,TSLA,421.5,426.5,94991429
2025-01-16,TSLA,423.49,413.82,68335151
