2025-02-05 21:04:44,585 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-02-05 21:04:44,585 - INFO - Probing node bootstrap-0 broker version
2025-02-05 21:04:44,585 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-02-05 21:04:44,710 - INFO - Broker version identified as 2.5.0
2025-02-05 21:04:44,710 - INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2025-02-05 21:04:44,713 - INFO - Conectado a Kafka exitosamente.
2025-02-05 21:04:44,716 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:44', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 57, 'precio_unitario': 2746.98, 'total': 156577.86, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:44,717 - INFO - <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-02-05 21:04:44,717 - INFO - <BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-02-05 21:04:44,717 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-02-05 21:04:45,722 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:45', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 61, 'precio_unitario': 1929.45, 'total': 117696.45, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:46,728 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:46', 'accion': 'GOOGL', 'tipo_transaccion': 'VENTA', 'cantidad': 42, 'precio_unitario': 125.01, 'total': 5250.42, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:47,734 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:47', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 82, 'precio_unitario': 2906.07, 'total': 238297.74, 'estado': 'FALLIDO', 'error': 'TIMEOUT'}
2025-02-05 21:04:48,737 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:48', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 88, 'precio_unitario': 1668.54, 'total': 146831.52, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:49,743 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:49', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 98, 'precio_unitario': 614.08, 'total': 60179.84, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:50,745 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:50', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 84, 'precio_unitario': 1584.35, 'total': 133085.4, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:51,747 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:51', 'accion': 'AMZN', 'tipo_transaccion': 'VENTA', 'cantidad': 99, 'precio_unitario': 185.86, 'total': 18400.14, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:52,753 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:52', 'accion': 'AAPL', 'tipo_transaccion': 'COMPRA', 'cantidad': 27, 'precio_unitario': 1321.36, 'total': 35676.72, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:53,758 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:53', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 63, 'precio_unitario': 376.88, 'total': 23743.44, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:54,762 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:54', 'accion': 'TSLA', 'tipo_transaccion': 'COMPRA', 'cantidad': 67, 'precio_unitario': 2605.51, 'total': 174569.17, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:55,769 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:55', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 40, 'precio_unitario': 1599.68, 'total': 63987.2, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:56,776 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:56', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 30, 'precio_unitario': 1762.85, 'total': 52885.5, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:57,783 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:57', 'accion': 'MSFT', 'tipo_transaccion': 'VENTA', 'cantidad': 68, 'precio_unitario': 2015.7, 'total': 137067.6, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:58,788 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:58', 'accion': 'MSFT', 'tipo_transaccion': 'COMPRA', 'cantidad': 58, 'precio_unitario': 2702.66, 'total': 156754.28, 'estado': 'EXITOSO', 'error': None}
2025-02-05 21:04:59,791 - INFO - Transacción enviada: {'timestamp': '2025-02-05 21:04:59', 'accion': 'AAPL', 'tipo_transaccion': 'VENTA', 'cantidad': 30, 'precio_unitario': 1349.98, 'total': 40499.4, 'estado': 'EXITOSO', 'error': None}
